"","Patent.Number...Numéro.du.brevet","Agent.Type.Code...Code.du.type.d.agent","Applicant.Type.Code...Code.du.type.de.demandeur","Interested.Party.Type.Code...Code.du.type.de.partie.intéressée","Interested.Party.Type...Type.de.partie.intéressée","Owner.Enable.Date...Date.d.activation.par.le.propriétaire","Ownership.End.date...Date.de.désactivation.par.le.propriétaire","Party.Name...Nom.de.la.partie","Party.Address.Line.1...Ligne.1.de.l.adresse.de.la.partie","Party.Address.Line.2...Ligne.2.de.l.adresse.de.la.partie","Party.Address.Line.3...Ligne.3.de.l.adresse.de.la.partie","Party.Address.Line.4...Ligne.4.de.l.adresse.de.la.partie","Party.Address.Line.5...Ligne.5.de.l.adresse.de.la.partie","Party.City...Ville.de.la.partie","Party.Province.Code...Code.de.la.province.de.la.partie","Party.Province...Étiquette.de.la.province.de.la.partie","Party.Postal.Code...Code.postal.de.la.partie","Party.Country.Code...Code.du.pays.de.la.partie","Party.Country...Pays.de.la.partie","Filing.Date...Date.de.dépôt","Grant.Date...Date.de.l.octroi","Application.Status.Code...Code.du.statut.de.la.demande","Application.Type.Code...Code.du.type.de.la.demande","Application.Patent.Title.English...Demande.Titre.anglais.du.brevet","Application.Patent.Title.French...Demande.Titre.français.du.brevet","Bibliographic.File.Extract.Date...Date.d.extraction.du.fichier.bibliographique","Country.of.Publication.Code...Code.du.pays.de.publication","Document.Kind.Type...Genre.du.type.de.document","Examination.Request.Date...Date.de.la.demande.d.examen","Filing.Country.Code...Code.du.pays.de.dépôt","Language.of.Filing.Code...Langue.du.dépôt.de.la.demande","License.For.Sale.Indicator...Indicateur.de.la.licence.de.vente","PCT.Application.Number...Numéro.de.demande.du.TCMB","PCT.Publication.Number...Numéro.de.publication.du.TCMB","PCT.Publication.Date...Date.de.publication.du.TCMB","Parent.Application.Number...Numéro.de.la.demande.principale","PCT.Article.22.39.fulfilled.Date...Date.d.accomplissement.des.articles.22.à.29.du.TCMB","PCT.Section.371.Date...Date.de.l.article.371.du.TCMB","PCT.Publication.Country.Code...Code.du.pays.de.publication.du.TCMB","Publication.Kind.Type...Genre.de.type.de.publication","Printed.as.Amended.Country.Code...Code.du.pays.de.la.demande.imprimée.après.modification","Country"
"256296","2865733","-2","-2","OWNR","Owner","2013-03-01","NULL","LEDDARTECH INC.","240 4535 WILFRID-HAMEL BLVD","NULL","NULL","NULL","NULL","QUEBEC","Q1","Quebec","G1P 2J7","CA","Canada",2013-03-01,"NULL","ER","PCT","SYSTEM AND METHOD FOR MULTIPURPOSE TRAFFIC DETECTION AND CHARACTERIZATION","SYSTEME ET PROCEDE POUR UNE DETECTION ET UNE CARACTERISATION DE LA CIRCULATION A OBJECTIFS MULTIPLES","2022-05-23","CA","A1","2018-02-22","IB","EN"," 0","PCT/IB2013/051667","WO2013/128427","2013-09-06","NULL","2014-08-27","2013-03-01","WO","A1","CA","CA"
"256323","2865753","-2","APPLICANT","APPL","Applicant","NULL","NULL","PRATT & WHITNEY CANADA CORP.","1000 Marie Victorin","Legal Dept. (01BE5)","NULL","NULL","NULL","LONGUEUIL","Q1","Quebec","J4G 1A1","CA","Canada",2014-09-30,"NULL","DE","NON-PCT","FLOW REGULATING APPARATUS","APPAREIL DE REGULATION DE DEBIT","2022-06-13","CA","A1","2019-09-04","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"256325","2865753","-2","-2","OWNR","Owner","2014-09-30","NULL","PRATT & WHITNEY CANADA CORP.","1000 Marie Victorin","Legal Dept. (01BE5)","NULL","NULL","NULL","LONGUEUIL","Q1","Quebec","J4G 1A1","CA","Canada",2014-09-30,"NULL","DE","NON-PCT","FLOW REGULATING APPARATUS","APPAREIL DE REGULATION DE DEBIT","2022-06-13","CA","A1","2019-09-04","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"256344","2865767","-2","-2","OWNR","Owner","2013-03-14","NULL","INSTITUT DE RECHERCHE ET DE DEVELOPPEMENT EN AGROENVIRONNEMENT INC.","2700 rue Einstein","NULL","NULL","NULL","NULL","QUEBEC","Q1","Quebec","G1P 3W8","CA","Canada",2013-03-14," 2020-04-14","GR","PCT","SYSTEM TO EVACUATE MATERIALS FROM A CHAMBER","SYSTEME D'EVACUATION DE MATERIAUX D'UNE CHAMBRE","2022-02-14","CA","C","2018-03-07","CA","EN"," 0","PCT/CA2013/050196","WO2013/138926","2013-09-26","NULL","2014-08-28","2013-03-14","WO","C","CA","CA"
"256347","2865767","-2","APPLICANT","APPL","Applicant","NULL","NULL","INSTITUT DE RECHERCHE ET DE DEVELOPPEMENT EN AGROENVIRONNEMENT INC.","2700 rue Einstein","NULL","NULL","NULL","NULL","QUEBEC","Q1","Quebec","G1P 3W8","CA","Canada",2013-03-14," 2020-04-14","GR","PCT","SYSTEM TO EVACUATE MATERIALS FROM A CHAMBER","SYSTEME D'EVACUATION DE MATERIAUX D'UNE CHAMBRE","2022-02-14","CA","C","2018-03-07","CA","EN"," 0","PCT/CA2013/050196","WO2013/138926","2013-09-26","NULL","2014-08-28","2013-03-14","WO","C","CA","CA"
"256447","2865832","-2","-2","OWNR","Owner","2013-02-27","2015-08-04","COMPOSANTE DE CONSTRUCTION ECOLOG.IX INC.","1300 GRAND RANG","NULL","NULL","NULL","NULL","ST-RAYMOND","Q1","Quebec","G3L 4J9","CA","Canada",2013-02-27," 2016-07-05","LA","PCT","ENGINEERED BUILDING BLOCK MODULAR CONSTRUCTION","CONSTRUCTION MODULAIRE DE BLOC D'INGENIERIE","2022-01-17","CA","C","2015-05-29","CA","EN"," 0","PCT/CA2013/050144","WO2013/127010","2013-09-06","NULL","2014-08-28","2013-02-27","WO","C","CA","CA"
"256449","2865832","-2","APPLICANT","APPL","Applicant","NULL","NULL","COMPOSANTE DE CONSTRUCTION ECOLOG.IX INC.","1300 GRAND RANG","NULL","NULL","NULL","NULL","ST-RAYMOND","Q1","Quebec","G3L 4J9","CA","Canada",2013-02-27," 2016-07-05","LA","PCT","ENGINEERED BUILDING BLOCK MODULAR CONSTRUCTION","CONSTRUCTION MODULAIRE DE BLOC D'INGENIERIE","2022-01-17","CA","C","2015-05-29","CA","EN"," 0","PCT/CA2013/050144","WO2013/127010","2013-09-06","NULL","2014-08-28","2013-02-27","WO","C","CA","CA"
"256450","2865832","-2","-2","OWNR","Owner","2015-08-04","NULL","SOCIETE EN COMMANDITE BREVET TB ACTING THROUGH 9310-6490 QUEBEC INC.","525 5E AVENUE","NULL","NULL","NULL","NULL","SAINT-RAYMOND","Q1","Quebec","G3L 2G5","CA","Canada",2013-02-27," 2016-07-05","LA","PCT","ENGINEERED BUILDING BLOCK MODULAR CONSTRUCTION","CONSTRUCTION MODULAIRE DE BLOC D'INGENIERIE","2022-01-17","CA","C","2015-05-29","CA","EN"," 0","PCT/CA2013/050144","WO2013/127010","2013-09-06","NULL","2014-08-28","2013-02-27","WO","C","CA","CA"
"256591","2865920","-2","APPLICANT","APPL","Applicant","NULL","NULL","MERCEDES TEXTILES LTD.","5838 CYPIHOT","NULL","NULL","NULL","NULL","ST. LAURENT","Q1","Quebec","H4S 1Y5","CA","Canada",2013-03-01," 2015-12-29","GR","PCT","DOUBLE-JACKETED FIRE HOSE WITH FILAMENT BUNDLE STRIPES","TUYAU D'INCENDIE A DOUBLE CHEMISE DOTE DE BANDES DE FAISCEAU DE FILAMENTS","2022-01-17","CA","C","2014-08-29","CA","EN"," 0","PCT/CA2013/000183","WO2013/126994","2013-09-06","NULL","2014-08-29","2013-03-01","WO","C","CA","CA"
"256592","2865920","-2","-2","OWNR","Owner","2013-03-01","NULL","MERCEDES TEXTILES LTD.","5838 CYPIHOT","NULL","NULL","NULL","NULL","ST. LAURENT","Q1","Quebec","H4S 1Y5","CA","Canada",2013-03-01," 2015-12-29","GR","PCT","DOUBLE-JACKETED FIRE HOSE WITH FILAMENT BUNDLE STRIPES","TUYAU D'INCENDIE A DOUBLE CHEMISE DOTE DE BANDES DE FAISCEAU DE FILAMENTS","2022-01-17","CA","C","2014-08-29","CA","EN"," 0","PCT/CA2013/000183","WO2013/126994","2013-09-06","NULL","2014-08-29","2013-03-01","WO","C","CA","CA"
"256624","2865934","-2","-2","OWNR","Owner","2013-03-06","NULL","SCT&B INC.","124, RUE BRYANT","NULL","NULL","NULL","NULL","SHERBROOKE","Q1","Quebec","J1J 3E4","CA","Canada",2013-03-06,"NULL","DE","PCT","PLACENTAL STEM CELLS, METHODS FOR ISOLATING SAME AND USE THEREOF","CELLULES SOUCHES PLACENTAIRES, PROCEDES D'ISOLATION DE CES CELLULES ET UTILISATION DE CES PROCEDES","2022-01-17","CA","A1","2014-08-29","CA","EN"," 0","PCT/CA2013/050167","WO2013/131192","2013-09-12","NULL","2014-08-29","2013-03-06","WO","A1","CA","CA"
"256626","2865934","-2","APPLICANT","APPL","Applicant","NULL","NULL","SCT&B INC.","124, RUE BRYANT","NULL","NULL","NULL","NULL","SHERBROOKE","Q1","Quebec","J1J 3E4","CA","Canada",2013-03-06,"NULL","DE","PCT","PLACENTAL STEM CELLS, METHODS FOR ISOLATING SAME AND USE THEREOF","CELLULES SOUCHES PLACENTAIRES, PROCEDES D'ISOLATION DE CES CELLULES ET UTILISATION DE CES PROCEDES","2022-01-17","CA","A1","2014-08-29","CA","EN"," 0","PCT/CA2013/050167","WO2013/131192","2013-09-12","NULL","2014-08-29","2013-03-06","WO","A1","CA","CA"
"257007","2866186","-2","-2","OWNR","Owner","2013-03-07","NULL","INSTITUT NATIONAL DE LA RECHERCHE SCIENTIFIQUE","490 rue de la Couronne","NULL","NULL","NULL","NULL","QUEBEC","Q1","Quebec","G1K 9A9","CA","Canada",2013-03-07," 2021-08-24","GR","PCT","CARBON DIOXIDE CHEMICAL SEQUESTRATION FROM INDUSTRIAL EMISSIONS BY CARBONATION","SEQUESTRATION CHIMIQUE DU DIOXYDE DE CARBONE A PARTIR D'EMISSIONS INDUSTRIELLES PAR CARBONATATION","2022-01-17","CA","C","2018-03-07","CA","EN"," 0","PCT/CA2013/050170","WO2013/131193","2013-09-12","NULL","2014-09-03","2013-03-07","WO","C","CA","CA"
"257009","2866186","-2","APPLICANT","APPL","Applicant","NULL","NULL","INSTITUT NATIONAL DE LA RECHERCHE SCIENTIFIQUE","490 rue de la Couronne","NULL","NULL","NULL","NULL","QUEBEC","Q1","Quebec","G1K 9A9","CA","Canada",2013-03-07," 2021-08-24","GR","PCT","CARBON DIOXIDE CHEMICAL SEQUESTRATION FROM INDUSTRIAL EMISSIONS BY CARBONATION","SEQUESTRATION CHIMIQUE DU DIOXYDE DE CARBONE A PARTIR D'EMISSIONS INDUSTRIELLES PAR CARBONATATION","2022-01-17","CA","C","2018-03-07","CA","EN"," 0","PCT/CA2013/050170","WO2013/131193","2013-09-12","NULL","2014-09-03","2013-03-07","WO","C","CA","CA"
"257025","2866192","-2","-2","OWNR","Owner","2019-11-21","NULL","ORTHOSOFT ULC","75 QUEEN STREET, STE 3300","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3C 2N6","CA","Canada",2013-07-30," 2021-02-23","GR","PCT","PELVIC DIGITIZER DEVICE WITH INERTIAL SENSOR UNIT AND METHOD","DISPOSITIF NUMERISEUR PELVIEN A UNITE DE CAPTEUR INERTIEL ET METHODE ASSOCIEE","2022-07-18","CA","C","2018-04-30","CA","EN"," 0","PCT/CA2013/050589","WO2014/019086","2014-02-06","NULL","2014-09-03","2013-07-30","WO","C","CA","CA"
"257026","2866192","-2","-2","OWNR","Owner","2013-07-30","2019-11-21","ORTHOSOFT INC.","3300-75 Queen Street","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3C 2N6","CA","Canada",2013-07-30," 2021-02-23","GR","PCT","PELVIC DIGITIZER DEVICE WITH INERTIAL SENSOR UNIT AND METHOD","DISPOSITIF NUMERISEUR PELVIEN A UNITE DE CAPTEUR INERTIEL ET METHODE ASSOCIEE","2022-07-18","CA","C","2018-04-30","CA","EN"," 0","PCT/CA2013/050589","WO2014/019086","2014-02-06","NULL","2014-09-03","2013-07-30","WO","C","CA","CA"
"257029","2866192","-2","APPLICANT","APPL","Applicant","NULL","NULL","ORTHOSOFT INC.","3300-75 Queen Street","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3C 2N6","CA","Canada",2013-07-30," 2021-02-23","GR","PCT","PELVIC DIGITIZER DEVICE WITH INERTIAL SENSOR UNIT AND METHOD","DISPOSITIF NUMERISEUR PELVIEN A UNITE DE CAPTEUR INERTIEL ET METHODE ASSOCIEE","2022-07-18","CA","C","2018-04-30","CA","EN"," 0","PCT/CA2013/050589","WO2014/019086","2014-02-06","NULL","2014-09-03","2013-07-30","WO","C","CA","CA"
"257043","2866197","-2","-2","OWNR","Owner","2019-11-21","NULL","ORTHOSOFT ULC","75 QUEEN STREET, STE 3300","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3C 2N6","CA","Canada",2013-07-30," 2021-04-13","GR","PCT","METHOD AND SYSTEM FOR CREATING FRAME OF REFERENCE FOR CAS WITH INERTIAL SENSORS","PROCEDE ET SYSTEME DE CREATION D'UN CADRE DE REFERENCE POUR CAO AVEC CAPTEURS INERTIELS","2022-07-18","CA","C","2018-04-30","CA","EN"," 0","PCT/CA2013/050590","WO2014/019087","2014-02-06","NULL","2014-09-03","2013-07-30","WO","C","CA","CA"
"257044","2866197","-2","-2","OWNR","Owner","2013-07-30","2019-11-21","ORTHOSOFT INC.","3300-75 Queen Street","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3C 2N6","CA","Canada",2013-07-30," 2021-04-13","GR","PCT","METHOD AND SYSTEM FOR CREATING FRAME OF REFERENCE FOR CAS WITH INERTIAL SENSORS","PROCEDE ET SYSTEME DE CREATION D'UN CADRE DE REFERENCE POUR CAO AVEC CAPTEURS INERTIELS","2022-07-18","CA","C","2018-04-30","CA","EN"," 0","PCT/CA2013/050590","WO2014/019087","2014-02-06","NULL","2014-09-03","2013-07-30","WO","C","CA","CA"
"257053","2866197","-2","APPLICANT","APPL","Applicant","NULL","NULL","ORTHOSOFT INC.","3300-75 Queen Street","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3C 2N6","CA","Canada",2013-07-30," 2021-04-13","GR","PCT","METHOD AND SYSTEM FOR CREATING FRAME OF REFERENCE FOR CAS WITH INERTIAL SENSORS","PROCEDE ET SYSTEME DE CREATION D'UN CADRE DE REFERENCE POUR CAO AVEC CAPTEURS INERTIELS","2022-07-18","CA","C","2018-04-30","CA","EN"," 0","PCT/CA2013/050590","WO2014/019087","2014-02-06","NULL","2014-09-03","2013-07-30","WO","C","CA","CA"
"257174","2866285","-2","APPLICANT","APPL","Applicant","NULL","NULL","SUMMET SYS INC.","107-8531 DELMEADE","NULL","NULL","NULL","NULL","MONT-ROYAL","Q1","Quebec","H4T 1M1","CA","Canada",2014-09-30,"NULL","DE","NON-PCT","A MOLDLESS THREE-DIMENSIONAL PRINTING APPARATUS AND METHOD","APPAREIL ET PROCEDE D'IMPRESSION TRIDIMENSIONNEL SANS MOULE","2022-01-17","CA","A1","2014-09-30","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"257175","2866285","-2","-2","OWNR","Owner","2014-09-30","NULL","SUMMET SYS INC.","107-8531 DELMEADE","NULL","NULL","NULL","NULL","MONT-ROYAL","Q1","Quebec","H4T 1M1","CA","Canada",2014-09-30,"NULL","DE","NON-PCT","A MOLDLESS THREE-DIMENSIONAL PRINTING APPARATUS AND METHOD","APPAREIL ET PROCEDE D'IMPRESSION TRIDIMENSIONNEL SANS MOULE","2022-01-17","CA","A1","2014-09-30","CA","EN"," 0","NULL","NULL","NULL","NULL","NULL","NULL","CA","A1","CA","CA"
"257235","2866335","-2","-2","OWNR","Owner","2019-05-01","2020-10-21","ANGELCARE DEVELOPMENT INC.","104-201, BOUL. DE L'INDUSTRIE","NULL","NULL","NULL","NULL","CANDIAC","Q1","Quebec","J5R 6A6","CA","Canada",2013-03-05," 2020-04-14","GR","PCT","WASTE-DISPOSAL DEVICE","DISPOSITIF D'ELIMINATION DES DECHETS","2022-01-17","CA","C","2018-03-05","IB","EN"," 0","PCT/IB2013/000554","WO2013/132331","2013-09-12","NULL","2014-09-04","2013-03-05","WO","C","CA","CA"
"257236","2866335","-2","-2","OWNR","Owner","2020-10-21","NULL","ANGELCARE CANADA INC.","201 BOUL DE L'INDUSTRIE","LOCAL 104","NULL","NULL","NULL","CANDIAC","Q1","Quebec","J5R 6A6","CA","Canada",2013-03-05," 2020-04-14","GR","PCT","WASTE-DISPOSAL DEVICE","DISPOSITIF D'ELIMINATION DES DECHETS","2022-01-17","CA","C","2018-03-05","IB","EN"," 0","PCT/IB2013/000554","WO2013/132331","2013-09-12","NULL","2014-09-04","2013-03-05","WO","C","CA","CA"
"257305","2866395","-2","-2","OWNR","Owner","2013-03-28","2019-11-21","ORTHOSOFT INC.","3300-75 Queen Street","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3C 2N6","CA","Canada",2013-03-28," 2020-11-10","GR","PCT","GLENOID IMPLANT SURGERY USING PATIENT SPECIFIC INSTRUMENTATION","CHIRURGIE D'IMPLANTATION GLENOIDE UTILISANT UNE INSTRUMENTATION SPECIFIQUE AU PATIENT","2022-02-21","CA","C","2018-03-06","CA","EN"," 0","PCT/CA2013/050253","WO2013/142998","2013-10-03","NULL","2014-09-05","2013-03-28","WO","C","CA","CA"
"257306","2866395","-2","-2","OWNR","Owner","2019-11-21","NULL","ORTHOSOFT ULC","75 QUEEN STREET, STE 3300","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3C 2N6","CA","Canada",2013-03-28," 2020-11-10","GR","PCT","GLENOID IMPLANT SURGERY USING PATIENT SPECIFIC INSTRUMENTATION","CHIRURGIE D'IMPLANTATION GLENOIDE UTILISANT UNE INSTRUMENTATION SPECIFIQUE AU PATIENT","2022-02-21","CA","C","2018-03-06","CA","EN"," 0","PCT/CA2013/050253","WO2013/142998","2013-10-03","NULL","2014-09-05","2013-03-28","WO","C","CA","CA"
"257308","2866395","-2","APPLICANT","APPL","Applicant","NULL","NULL","ORTHOSOFT INC.","3300-75 Queen Street","NULL","NULL","NULL","NULL","MONTREAL","Q1","Quebec","H3C 2N6","CA","Canada",2013-03-28," 2020-11-10","GR","PCT","GLENOID IMPLANT SURGERY USING PATIENT SPECIFIC INSTRUMENTATION","CHIRURGIE D'IMPLANTATION GLENOIDE UTILISANT UNE INSTRUMENTATION SPECIFIQUE AU PATIENT","2022-02-21","CA","C","2018-03-06","CA","EN"," 0","PCT/CA2013/050253","WO2013/142998","2013-10-03","NULL","2014-09-05","2013-03-28","WO","C","CA","CA"
